sno,candidate,constituency,party,criminal_case,education,total_assets,liabilities,actual_declared_movable,sum_all_movable,actual_declared_immovable,sum_all_immovable,all_candidate_links
1489,Brijesh Kumar Pal,HAMIRPUR,Rashtra Uday Party,0,Others,"Rs 6,95,367 ~ 6 Lacs+",Rs 0 ~,"Rs 82,867","Rs 82,867","Rs 6,12,500","Rs 6,12,500",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7547
1490,Brijesh Kumar Saroj,MACHHLISHAHR (SC),Prabuddhwadi Bahujan Morcha,0,Post Graduate,"Rs 7,60,000 ~ 7 Lacs+",Rs 0 ~,"Rs 7,60,000","Rs 70,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8090
1491,Brijesh Kumar Vikram,MOHANLALGANJ (SC),Rashtriya Samaj Paksha,0,Others,"Rs 4,34,371",Nil,"Rs 4,34,371","Rs 4,34,371",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7164
1492,Brijesh Kumar Yadav,LUCKNOW,Kisan Vishwa Party,0,Graduate,"Rs 1,03,67,000 ~ 1 Crore+","Rs 2,55,000 ~ 2 Lacs+","Rs 3,67,000","Rs 3,67,000","Rs 1,00,00,000","Rs 1,00,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7647
1493,Brijesh Sharma,AHMEDABAD EAST,IND,0,Graduate,"Rs 96,000 ~ 96 Thou+",Rs 0 ~,"Rs 96,000","Rs 96,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4977
1494,Brijmohan Agrawal,RAIPUR,BJP,0,Post Graduate,"Rs 18,02,19,000","Rs 95,68,000","Rs 3,79,30,000","Rs 3,79,30,000","Rs 14,22,89,000","Rs 14,22,89,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3427
1495,Brinda Chauhan,JANJGIR-CHAMPA (SC),Chhattisgarh Vikas Ganga Rashtriya Party,0,Illiterate,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,"Rs 40,000","Rs 40,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4120
1496,Bro Noushad Sheriff J,KOLLAM,IND,1,8th Pass,"Rs 25,91,500 ~ 25 Lacs+","Rs 53,39,000 ~ 53 Lacs+","Rs 15,91,500","Rs 1,10,282",Nil,"Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2119
1497,Brundabana Nahak,ASKA,BSP,0,Graduate Professional,"Rs 6,70,500","Rs 3,25,000","Rs 6,70,500","Rs 6,70,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7310
1498,Buchi Edukondalu,ONGOLE,IND,0,Post Graduate,"Rs 1,47,95,000 ~ 1 Crore+","Rs 38,00,000 ~ 38 Lacs+","Rs 77,95,000","Rs 77,95,000","Rs 70,00,000","Rs 70,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6825
1499,Budayya. B.P,MANDYA,Karunaadu Party,0,Post Graduate,"Rs 4,88,85,575 ~ 4 Crore+",Rs 0 ~,"Rs 1,86,85,575","Rs 1,86,85,575","Rs 3,02,00,000","Rs 3,02,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2076
1500,Buddh Priya Karmraj Rahul,BAREILLY,IND,0,Post Graduate,"Rs 10,13,000",Nil,"Rs 10,13,000","Rs 7,13,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4676
1501,Buddhadev Sav,JAHANABAD,IND,0,10th Pass,"Rs 34,50,500 ~ 34 Lacs+",Rs 0 ~,"Rs 9,50,500","Rs 9,50,500","Rs 25,00,000","Rs 25,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9595
1502,Buddhula Srinivas,NAGARKURNOOL (SC),IND,0,10th Pass,"Rs 33,30,000 ~ 33 Lacs+","Rs 1,00,000 ~ 1 Lacs+","Rs 1,80,000","Rs 1,80,000","Rs 31,50,000","Rs 31,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5898
1503,Budharu Roy,DARJEELING,Kamatapur People’s Party (United),1,10th Pass,"Rs 43,40,642",Nil,"Rs 19,40,642","Rs 19,40,642","Rs 24,00,000","Rs 24,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2776
1504,Budi Mutyala Naidu,ANAKAPALLE,YSRCP,0,10th Pass,"Rs 7,39,92,295 ~ 7 Crore+","Rs 1,77,19,071 ~ 1 Crore+","Rs 3,03,92,295","Rs 3,03,92,295","Rs 4,36,00,000","Rs 4,36,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5094
1505,Budili Dhanunjaya,HINDUPUR,National Nava Kranthi Party,0,10th Pass,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,"Rs 50,000","Rs 50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7102
1506,Bugadi Basavalingappa Irappa,DHARWAD,Uttama Prajaakeeya Party,0,12th Pass,"Rs 41,00,330",Nil,"Rs 11,76,330","Rs 11,76,329","Rs 29,24,000","Rs 29,24,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3568
1507,Bugatha Bangarrao,KAKINADA,CPI(ML)(L),3,10th Pass,"Rs 42,10,000 ~ 42 Lacs+","Rs 9,80,000 ~ 9 Lacs+","Rs 2,10,000","Rs 2,10,000","Rs 40,00,000","Rs 40,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6176
1508,Bukya Jaivanth Rao,ADILABAD (ST),IND,0,Graduate Professional,"Rs 36,27,450 ~ 36 Lacs+","Rs 1,92,000 ~ 1 Lacs+","Rs 11,27,450","Rs 11,27,450",Nil,"Rs 25,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5744
1509,Bunga Jyothi Ramana,WARANGAL (SC),Aihra National Party,3,Graduate,"Rs 40,70,000",Nil,"Rs 10,70,000","Rs 10,70,000","Rs 30,00,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5622
1510,Bunty Vivek Sahu,CHHINDWARA,BJP,1,Graduate,"Rs 36,77,31,210 ~ 36 Crore+","Rs 1,22,41,255 ~ 1 Crore+","Rs 5,22,31,210","Rs 5,21,41,030","Rs 31,55,00,000","Rs 31,55,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=587
1511,Buraga Ratnam,GUNTUR,Loktantrik Janta Dal,0,Graduate Professional,"Rs 4,70,13,655 ~ 4 Crore+","Rs 1,40,34,000 ~ 1 Crore+","Rs 2,09,37,655","Rs 2,09,37,655","Rs 2,60,76,000","Rs 2,60,76,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6119
1512,Burka Krishnaveni,MAHABUBABAD (ST),Socialist Party (India),0,Others,"Rs 5,87,500","Rs 3,60,000","Rs 5,87,500","Rs 5,87,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5787
1513,Bushaku Maheswara Reddy,NANDYAL,IND,0,Graduate Professional,"Rs 40,22,000 ~ 40 Lacs+","Rs 23,50,000 ~ 23 Lacs+","Rs 16,00,000","Rs 16,00,000","Rs 24,22,000","Rs 24,22,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5539
1514,Bushipaka Venkataiah,BHONGIR,IND,0,Graduate,"Rs 5,83,625 ~ 5 Lacs+","Rs 4,00,000 ~ 4 Lacs+","Rs 5,78,000","Rs 3,50,000","Rs 5,625",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7048
1515,Bussa Nagaraju,BAPATLA (SC),IND,4,Others,"Rs 11,15,600",Nil,"Rs 11,15,600","Rs 11,15,600",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6056
1516,Byraboyina Malyadri,ELURU,Bharatha Chaitanya Yuvajana Party,0,5th Pass,"Rs 1,21,70,000 ~ 1 Crore+","Rs 79,70,000 ~ 79 Lacs+","Rs 11,70,000","Rs 11,70,000","Rs 1,10,00,000","Rs 1,10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6111
1517,C A Jayaraman,SRIPERUMBUDUR,IND,0,Post Graduate,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,50,000","Rs 1,50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1302
1518,C Aravind,SRIPERUMBUDUR,Desiya Makkal Sakthi Katchi,0,Post Graduate,"Rs 4,98,700","Rs 2,40,000","Rs 4,98,700","Rs 1,06,700",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1319
1519,C Krishnakumar,PALAKKAD,BJP,30,Graduate,"Rs 1,70,24,979 ~ 1 Crore+","Rs 6,84,733 ~ 6 Lacs+","Rs 91,24,979","Rs 71,41,379","Rs 79,00,000","Rs 79,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3106
1520,C M. Shabaz Khan,BANGALORE SOUTH,Young Star Empowerment Party,2,12th Pass,"Rs 7,01,500 ~ 7 Lacs+",Rs 0 ~,"Rs 7,01,500","Rs 7,01,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2032
1521,C Madhavan,VELLORE,IND,0,Others,"Rs 18,25,000","Rs 15,00,000","Rs 3,25,000","Rs 90,000","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1418
1522,C Monichen,MAVELIKKARA (SC),IND,1,10th Pass,"Rs 38,82,936 ~ 38 Lacs+","Rs 7,85,000 ~ 7 Lacs+","Rs 8,82,936","Rs 3,28,036","Rs 30,00,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3128
1523,C N Annadurai,TIRUVANNAMALAI,DMK,0,Graduate,"Rs 20,36,86,311 ~ 20 Crore+","Rs 1,91,56,956 ~ 1 Crore+","Rs 10,81,47,911","Rs 10,81,47,911","Rs 9,55,38,400","Rs 9,55,38,400",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1155
1524,C N Manjunatha,BANGALORE RURAL,Bahujan Bharat Party,1,10th Pass,"Rs 1,56,00,000",Nil,"Rs 35,00,000","Rs 7,52,946","Rs 1,21,00,000","Rs 1,21,54,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2184
1525,C P Joshi,BHILWARA,INC,0,Doctorate,"Rs 7,98,98,933 ~ 7 Crore+","Rs 2,20,07,177 ~ 2 Crore+","Rs 3,74,26,433","Rs 3,74,95,533","Rs 4,24,72,500","Rs 4,24,72,500",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2548
1526,C Parirajan,RAMANATHAPURAM,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1,5th Pass,"Rs 5,45,000 ~ 5 Lacs+",Rs 0 ~,"Rs 5,45,000","Rs 5,45,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1637
1527,C Premkumar,SRIPERUMBUDUR,IND,0,12th Pass,"Rs 7,06,364",Nil,"Rs 7,06,364","Rs 7,06,364",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1310
1528,C R Patil,NAVSARI,BJP,0,Others,"Rs 39,49,30,044 ~ 39 Crore+","Rs 2,75,82,988 ~ 2 Crore+","Rs 29,27,12,336","Rs 29,27,12,586","Rs 10,22,17,708","Rs 10,22,17,708",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5139
1529,C Rajamanickam,PALAKKAD,IND,0,Post Graduate,"Rs 85,22,887 ~ 85 Lacs+",Rs 0 ~,"Rs 74,22,887","Rs 73,45,485","Rs 11,00,000","Rs 11,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2306
1530,C Ramachandhiran,VELLORE,IND,0,10th Pass,"Rs 1,45,000",Nil,"Rs 1,45,000","Rs 1,45,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=807
1531,C Surendra Natha Reddy,NANDYAL,IND,0,12th Pass,"Rs 23,00,000 ~ 23 Lacs+","Rs 1,50,000 ~ 1 Lacs+","Rs 9,40,000","Rs 9,40,000",Nil,"Rs 13,60,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6774
1532,C. Balakrishnan Yadav,KANNUR,IND,0,Post Graduate,"Rs 1,59,72,044 ~ 1 Crore+","Rs 3,42,685 ~ 3 Lacs+","Rs 1,02,72,044","Rs 1,04,10,072","Rs 57,00,000","Rs 57,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2281
1533,C. Channaveera,BELLARY (ST),Karnataka Rashtra Samithi,0,10th Pass,"Rs 1,76,900","Rs 1,35,000","Rs 1,76,900","Rs 1,76,900",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3476
1534,C. David,THIRUPATHI (SC),Indian Believers Party,0,Graduate,"Rs 38,79,948 ~ 38 Lacs+","Rs 90,000 ~ 90 Thou+",Rs 0,"Rs 21,79,948","Rs 17,00,000","Rs 17,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7099
1535,C. Punyamurthy,THIRUPATHI (SC),United Republican Party of India,4,Others,"Rs 22,53,020 ~ 22 Lacs+","Rs 48,35,485 ~ 48 Lacs+","Rs 22,53,020","Rs 22,53,020",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6753
1536,C. Raghunath,KANNUR,BJP,2,Post Graduate,"Rs 1,89,07,626","Rs 1,05,70,777","Rs 1,05,40,960","Rs 1,01,45,959","Rs 83,66,666","Rs 83,66,666",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2283
1537,C. Senapathi,CHENNAI NORTH,IND,0,Post Graduate,"Rs 1,69,85,523 ~ 1 Crore+",Rs 0 ~,"Rs 29,85,523","Rs 29,85,523","Rs 1,40,00,000","Rs 1,40,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1065
1538,C. Sharana Basappa,KOPPAL,Republican Party of India (Karnataka),0,10th Pass,"Rs 3,04,900 ~ 3 Lacs+","Rs 5,00,000 ~ 5 Lacs+","Rs 1,04,900","Rs 1,03,400","Rs 2,00,000","Rs 2,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4359
1539,C. Sridhar,CHENNAI NORTH,IND,0,Graduate Professional,"Rs 10,22,500",Nil,"Rs 10,22,500","Rs 10,22,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1060
1540,C.H. Naveen Kumar,MEDAK,IND,1,10th Pass,"Rs 11,57,684 ~ 11 Lacs+",Rs 0 ~,"Rs 1,57,684","Rs 1,57,684",Nil,"Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5860
1541,C.J.Bennyrajan,TIRUVANNAMALAI,Bharatiya Praja Aikyata Party,0,Others,"Rs 8,15,500 ~ 8 Lacs+",Rs 0 ~,"Rs 3,65,500","Rs 3,65,500","Rs 4,50,000","Rs 4,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1130
1542,C.M. Shabaz Khan,BANGALORE CENTRAL,Young Star Empowerment Party,2,12th Pass,"Rs 7,01,500",Nil,"Rs 7,01,500","Rs 7,01,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2172
1543,C.M.Krishna,CHAMARAJANAGAR (SC),Dr. Ambedkar Peoples Party,0,Others,"Rs 4,36,000 ~ 4 Lacs+",Rs 0 ~,"Rs 4,36,000","Rs 4,36,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2993
1544,C.M.Ramesh,ANAKAPALLE,BJP,5,12th Pass,"Rs 4,97,60,24,996 ~ 497 Crore+","Rs 1,01,61,83,515 ~ 101 Crore+","Rs 51,92,55,400","Rs 51,92,55,400","Rs 4,45,67,69,596","Rs 4,45,67,69,596",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5268
1545,C.S.Karnan,CHENNAI CENTRAL,Anti Corruption Dynamic Party,2,Graduate Professional,"Rs 6,60,000","Rs 9,20,000","Rs 6,60,000","Rs 4,25,000",Nil,Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1048
1546,C.Sudhakar,CHITTOOR (SC),IND,0,10th Pass,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,"Rs 2,00,000","Rs 2,00,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6082
1547,C.V. Lokesh Gowda,CHIKKBALLAPUR,IND,0,Graduate Professional,"Rs 12,59,43,962 ~ 12 Crore+","Rs 50,00,000 ~ 50 Lacs+","Rs 34,43,962","Rs 37,43,962","Rs 12,25,00,000","Rs 12,25,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3061
1548,Captain Bahadur Singh,FARIDKOT (SC),IND,0,Graduate,"Rs 1,11,80,000","Rs 6,00,000","Rs 15,80,000","Rs 15,80,000","Rs 96,00,000","Rs 96,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9260
1549,Captain Brijesh Chowta,DAKSHINA KANNADA,BJP,1,Graduate,"Rs 70,56,365 ~ 70 Lacs+","Rs 9,62,010 ~ 9 Lacs+","Rs 27,06,365","Rs 27,06,365","Rs 43,50,000","Rs 43,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1889
1550,Captain Gowtham,TIRUVANNAMALAI,IND,0,Post Graduate,"Rs 25,35,319 ~ 25 Lacs+","Rs 2,00,000 ~ 2 Lacs+","Rs 10,35,319.37","Rs 10,35,319.37","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1134
1551,Captain Settu M,ARANI,Viro Ke Vir Indian Party,0,Graduate,"Rs 97,57,000",Nil,"Rs 32,57,000","Rs 21,32,000","Rs 65,00,000","Rs 75,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=702
1552,Captain Viriato Fernandes,SOUTH GOA,INC,1,Graduate Professional,"Rs 5,27,28,999 ~ 5 Crore+","Rs 3,79,840 ~ 3 Lacs+","Rs 3,54,44,169","Rs 3,64,94,169","Rs 1,72,84,830","Rs 1,72,84,830",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3876
1553,Ch Lal Singh,UDHAMPUR,INC,0,Graduate,"Rs 3,50,13,425 ~ 3 Crore+","Rs 25,34,944 ~ 25 Lacs+","Rs 1,00,13,425","Rs 1,00,13,425","Rs 2,50,00,000","Rs 2,50,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=753
1554,Ch P Malleswarudu,NANDYAL,IND,0,10th Pass,"Rs 1,00,000",Nil,Nil,"Rs 1,00,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5556
1555,Chaaya Sanjay Jagdale-Solanke,SHIRUR,IND,0,Graduate,"Rs 1,43,75,000 ~ 1 Crore+","Rs 29,00,000 ~ 29 Lacs+","Rs 33,75,000","Rs 35,21,000","Rs 1,10,00,000","Rs 1,10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6842
1556,Chabukswar Rahul Niranjan,JALNA,IND,1,Post Graduate,"Rs 1,34,000 ~ 1 Lacs+","Rs 50,000 ~ 50 Thou+",Nil,"Rs 1,34,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6915
1557,Chadipiralla Bhupesh Subbarami Reddy,KADAPA,TDP,1,Graduate Professional,"Rs 3,00,34,646","Rs 1,13,34,283","Rs 1,99,88,106","Rs 1,99,88,105","Rs 1,00,46,540","Rs 1,00,46,540",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5112
1558,Chagantipati Gangadhar Gandhi,VIJAYAWADA,Pyramid Party of India,0,12th Pass,"Rs 43,50,000 ~ 43 Lacs+",Rs 0 ~,"Rs 3,50,000","Rs 3,50,000","Rs 40,00,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6612
1559,Chain Singh Bainka,KHADOOR SAHIB,Aas Punjab Party,0,10th Pass,"Rs 9,67,400 ~ 9 Lacs+",Rs 0 ~,"Rs 1,17,400","Rs 1,17,400","Rs 8,50,000","Rs 8,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9164
1560,Chaitanya Kumar Reddy Pellakuru,HYDERABAD,IND,1,Post Graduate,"Rs 60,53,825","Rs 6,77,370","Rs 60,53,825","Rs 60,53,825",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6990
1561,Chaitarbhai Damjibhai Vasava,BHARUCH,AAP,13,Graduate,"Rs 51,89,754 ~ 51 Lacs+",Rs 0 ~,"Rs 31,89,754","Rs 31,89,754","Rs 20,00,000","Rs 20,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4239
1562,Chaitram Dasharath Kokase,BHANDARA GONDIYA,IND,0,10th Pass,"Rs 63,91,327 ~ 63 Lacs+","Rs 94,000 ~ 94 Thou+","Rs 36,30,084","Rs 36,80,084","Rs 27,61,243","Rs 27,61,243",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=525
1563,Chalai Mohanan,THIRUVANANTHAPURAM,IND,0,12th Pass,"Rs 18,64,000","Rs 5,05,000","Rs 1,64,000","Rs 1,64,000",Nil,"Rs 17,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3360
1564,Chalamalasetty Sunil,KAKINADA,YSRCP,0,Post Graduate,"Rs 1,49,99,62,589 ~ 149 Crore+","Rs 6,82,39,876 ~ 6 Crore+","Rs 75,87,37,351","Rs 75,87,37,351","Rs 74,12,25,238","Rs 74,12,25,238",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6173
1565,Chalika Chandra Sekhar,SECUNDERABAD,IND,0,Graduate,"Rs 44,90,000 ~ 44 Lacs+","Rs 5,00,000 ~ 5 Lacs+","Rs 4,90,000","Rs 4,90,000","Rs 40,00,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6003
1566,Challa Vamshi Chand Reddy,MAHBUBNAGAR,INC,3,12th Pass,"Rs 3,31,71,049","Rs 23,42,382","Rs 2,61,71,049","Rs 2,61,71,049","Rs 70,00,000","Rs 70,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5234
1567,Challapalli Ratan Raju,GUNTUR,Viduthalai Chiruthaigal Katchi,0,Post Graduate,"Rs 45,91,026 ~ 45 Lacs+","Rs 15,59,053 ~ 15 Lacs+","Rs 31,67,026","Rs 31,67,026","Rs 14,24,000","Rs 14,24,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6117
1568,Chamakura Rajaiah Alias Pidikili Raju,MALKAJGIRI,Social Justice Party of India,0,Graduate,"Rs 9,47,000 ~ 9 Lacs+","Rs 1,20,000 ~ 1 Lacs+","Rs 9,47,000","Rs 9,47,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5521
1569,Chamala Kiran Kumar Reddy,BHONGIR,INC,3,12th Pass,"Rs 28,72,11,468","Rs 73,48,373","Rs 9,24,30,468","Rs 9,24,30,468","Rs 19,47,81,000","Rs 20,52,81,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5299
1570,Chaman Lal Verma,WEST DELHI,Samaj Vikas Kranti Party,0,Post Graduate,"Rs 1,95,06,200 ~ 1 Crore+","Rs 24,00,000 ~ 24 Lacs+","Rs 5,06,200","Rs 5,06,200","Rs 1,90,00,000","Rs 1,90,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8293
1571,Chamanbhai Nagjibhai Savsani,RAJKOT,BSP,0,8th Pass,"Rs 41,30,000 ~ 41 Lacs+","Rs 1,02,789 ~ 1 Lacs+","Rs 4,80,000","Rs 4,25,000","Rs 36,50,000","Rs 36,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4315
1572,Chamkaur Singh,FIROZPUR,IND,0,Literate,"Rs 10,000",Nil,"Rs 10,000","Rs 10,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9273
1573,Chamkila Singh,PATIALA,IND,0,Illiterate,"Rs 1,80,000 ~ 1 Lacs+","Rs 8,25,000 ~ 8 Lacs+","Rs 1,80,000","Rs 20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9296
1574,Champa Lal Patel Guruji Dharti Pakd,MAHASAMUND,Right to Recall Party,0,Graduate,"Rs 51,44,343 ~ 51 Lacs+",Rs 0 ~,"Rs 6,44,343","Rs 6,44,342","Rs 45,00,000","Rs 45,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2249
1575,Chamra Linda,LOHARDAGA (ST),IND,1,Graduate,"Rs 2,84,79,905","Rs 50,19,989","Rs 1,31,30,205","Rs 1,31,30,205","Rs 1,53,49,700","Rs 1,53,49,700",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6278
1576,Chan Basha S,KADAPA,Anna YSR Congress Party,0,5th Pass,"Rs 35,40,000 ~ 35 Lacs+","Rs 9,40,000 ~ 9 Lacs+","Rs 5,40,000","Rs 5,40,000","Rs 30,00,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6167
1577,Chanda Lingaiah,MAHABUBABAD (ST),IND,0,Post Graduate,"Rs 54,23,125 ~ 54 Lacs+","Rs 4,08,000 ~ 4 Lacs+","Rs 1,30,000","Rs 1,30,000","Rs 52,93,125","Rs 52,93,125",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5795
1578,Chandan Chauhan,BIJNOR,Rashtriya Lok Dal,3,Graduate Professional,"Rs 79,884","Rs 3,22,341","Rs 1,77,11,631","Rs 1,77,11,626","Rs 6,07,14,951","Rs 6,07,14,951",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=869
1579,Chandan Gowda. K,MANDYA,IND,0,Post Graduate,"Rs 94,39,500 ~ 94 Lacs+","Rs 9,50,000 ~ 9 Lacs+","Rs 91,19,500","Rs 91,19,500","Rs 3,20,000","Rs 4,20,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3066
1580,Chandan Kumar,CHATRA,IND,0,Graduate Professional,"Rs 2,53,000 ~ 2 Lacs+",Rs 0 ~,"Rs 2,53,000","Rs 2,53,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7360
1581,Chandan Mallick,BANGAON (SC),BSP,0,Graduate,"Rs 7,84,26,582","Rs 25,72,810","Rs 79,884","Rs 79,884",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7110
1582,Chandan Oraon,ALIPURDUARS (ST),SUCI(C),0,10th Pass,"Rs 12,117 ~ 12 Thou+",Rs 0 ~,"Rs 12,117","Rs 12,117",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=32
1583,Chandan Rathore,GWALIOR,Parivartan Samaj Party,0,10th Pass,"Rs 15,09,000 ~ 15 Lacs+",Rs 0 ~,"Rs 8,09,000","Rs 8,09,000","Rs 7,00,000","Rs 7,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3555
1584,Chandan Singh,JHANSI,Apna Dal (Kamerawadi),0,Others,"Rs 46,50,000","Rs 11,00,000","Rs 26,50,000","Rs 19,27,954","Rs 20,00,000","Rs 20,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7536
1585,Chandan Singh,BIJNOR,IND,0,Graduate,"Rs 21,55,000 ~ 21 Lacs+",Rs 0 ~,"Rs 11,55,000","Rs 11,55,000",Nil,"Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=865
